id,observed_on,taxon_name,common_name,iconic_taxon,place_guess,latitude,longitude,quality_grade,num_identification_agreements,user,url,photo_url
386826618,2026-07-31,Corbicula fluminea,korbikula ázijská,Mollusca,"076 35 Svätá Mária, Slovensko",48.4544197,21.8192833997,needs_id,0,Martin Hromada,https://www.inaturalist.org/observations/386826618?locale=sk,https://static.inaturalist.org/photos/708292550/small.jpg
386826756,2026-07-31,Sagittaria sagittifolia,šípovka vodná,Plantae,"076 34 Zemplín, Slovensko",48.4303489997,21.8065703,research,1,Martin Hromada,https://www.inaturalist.org/observations/386826756?locale=sk,https://static.inaturalist.org/photos/708292947/small.jpg
386814704,2026-07-31,Utricularia × neglecta,bublinatka nebadaná,Plantae,"Kucany, Oborín, Košice, SK",48.4918269558,21.8386952581,needs_id,0,Martin Lukáň,https://www.inaturalist.org/observations/386814704?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/708268488/small.jpg
386813785,2026-07-31,Euplagia quadripunctaria,spriadač kostihojový,Insecta,"076 31 Streda nad Bodrogom, Slovensko",48.3741167,21.7787633,needs_id,1,Martin Celuch,https://www.inaturalist.org/observations/386813785?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/708267180/small.jpg
386814138,2026-07-31,Myriophyllum verticillatum,stolístok praslenatý,Plantae,"FRRQ+JH, 076 75 Oborín, Slovensko",48.491955,21.83769828,needs_id,0,Martina Hajdukova,https://www.inaturalist.org/observations/386814138?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/708267598/small.jpg
386813393,2026-07-31,Sium latifolium,potočník širokolistý,Plantae,"Kucany, Oborín, Košice, SK",48.4918828089,21.838549332,needs_id,0,Martin Lukáň,https://www.inaturalist.org/observations/386813393?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/708266338/small.jpg
386813336,2026-07-31,Alisma plantago-aquatica,žabník skorocelový,Plantae,"FRRQ+JH, 076 75 Oborín, Slovensko",48.49195414,21.83769798,research,1,Martina Hajdukova,https://www.inaturalist.org/observations/386813336?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/708266239/small.jpg
386813226,2026-07-31,Unionidae,korýtkovité,Mollusca,"Oborín, Košice, SK",48.4918961136,21.8385170036,needs_id,0,Martin Lukáň,https://www.inaturalist.org/observations/386813226?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/708265951/small.jpg
386812980,2026-07-31,Sparganium erectum,ježohlav vzpriamený,Plantae,"Oborín, Košice, SK",48.4919916906,21.8377357484,research,1,Martin Lukáň,https://www.inaturalist.org/observations/386812980?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/708265473/small.jpg
386813235,2026-07-31,Sparganium erectum,ježohlav vzpriamený,Plantae,"FRRQ+JH, 076 75 Oborín, Slovensko",48.49193786,21.83770479,needs_id,0,Martina Hajdukova,https://www.inaturalist.org/observations/386813235?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/708266021/small.jpg
386812546,2026-07-31,Mentha aquatica,mäta vodná,Plantae,"FRRQ+JH, 076 75 Oborín, Slovensko",48.49188126,21.83785981,research,1,Martina Hajdukova,https://www.inaturalist.org/observations/386812546?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/708264760/small.jpg
386809957,2026-07-31,Euphrosyne,iva,Plantae,"076 05 Brehov, Slovensko",48.48005853,21.79700846,needs_id,0,Martina Hajdukova,https://www.inaturalist.org/observations/386809957?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/708264718/small.jpg
386809658,2026-07-31,Bombus pascuorum,čmeľ poľný,Insecta,"Cesta 3663, Brehov, Košice, SK",48.4803855094,21.7964399792,research,1,Martin Lukáň,https://www.inaturalist.org/observations/386809658?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/708259497/small.jpg
386809450,2026-07-31,Pieris rapae,mlynárik repový,Insecta,"076 05 Brehov, Slovensko",48.4802021,21.79664705,needs_id,0,Martina Hajdukova,https://www.inaturalist.org/observations/386809450?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/708258988/small.jpg
386808998,2026-07-31,Anchusa officinalis,smohla lekárska,Plantae,"Cejkov, Košice, SK",48.4818882181,21.7944106528,research,1,Martin Lukáň,https://www.inaturalist.org/observations/386808998?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/708258019/small.jpg
386807222,2026-07-31,Spirodela polyrhiza,žabnička mnohokoreňová,Plantae,"Cejkov, Košice, SK",48.4816522335,21.7941791272,needs_id,0,Martin Lukáň,https://www.inaturalist.org/observations/386807222?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/708254088/small.jpg
386806521,2026-07-31,Arctium,lopúch,Plantae,"076 05 Cejkov, Slovensko",48.48148142,21.79478158,needs_id,0,Martina Hajdukova,https://www.inaturalist.org/observations/386806521?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/708253124/small.jpg
386805671,2026-07-31,Succinea putris,jantárovka veľká,Mollusca,"Cejkov, Košice, SK",48.4808564629,21.7952145019,needs_id,0,Martin Lukáň,https://www.inaturalist.org/observations/386805671?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/708251308/small.jpg
386805594,2026-07-31,Calystegia sepium,povoja plotná,Plantae,"Cejkov, Košice, SK",48.4808564629,21.7952145019,needs_id,0,Martin Lukáň,https://www.inaturalist.org/observations/386805594?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/708251181/small.jpg
386804945,2026-07-31,Fomes,práchnovec,Fungi,"Cejkov, Košice, SK",48.4808564629,21.7952145019,needs_id,2,Martin Lukáň,https://www.inaturalist.org/observations/386804945?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/708249979/small.jpg
386804817,2026-07-31,Stachys palustris,čistec močiarny,Plantae,"Cejkov, Košice, SK",48.4802320791,21.7913343942,research,1,Martin Lukáň,https://www.inaturalist.org/observations/386804817?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/708249695/small.jpg
386804083,2026-07-31,Carex,ostrica,Plantae,"Cesta 3663, Brehov, Košice, SK",48.4805042809,21.7959484644,needs_id,0,Martin Lukáň,https://www.inaturalist.org/observations/386804083?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/708248273/small.jpg
386804320,2026-07-31,Carex acuta,ostrica štíhla,Plantae,"076 05 Cejkov, Slovensko",48.48070523,21.7953741,needs_id,0,Martina Hajdukova,https://www.inaturalist.org/observations/386804320?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/708248778/small.jpg
386804037,2026-07-31,Lycopus europaeus,karbinec európsky,Plantae,"Cesta 3663, Brehov, Košice, SK",48.4805042809,21.7959484644,needs_id,0,Martin Lukáň,https://www.inaturalist.org/observations/386804037?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/708248147/small.jpg
386803633,2026-07-31,Carex acutiformis,ostrica ostrá,Plantae,"Cesta 3663, Brehov, Košice, SK",48.4805042809,21.7959484644,needs_id,0,Martin Lukáň,https://www.inaturalist.org/observations/386803633?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/708247472/small.jpg
386803336,2026-07-31,Phragmites australis,trsť obyčajná,Plantae,"Cesta 3663, Brehov, Košice, SK",48.4805042809,21.7959484644,needs_id,0,Martin Lukáň,https://www.inaturalist.org/observations/386803336?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/708247000/small.jpg
386803087,2026-07-31,Echinocystis lobata,ježatec laločnatý,Plantae,"Cesta 3663, Brehov, Košice, SK",48.4805042809,21.7959484644,needs_id,0,Martin Lukáň,https://www.inaturalist.org/observations/386803087?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/708246523/small.jpg
386802915,2026-07-31,Caltha palustris,záružlie močiarne,Plantae,"076 05 Cejkov, Slovensko",48.48039736,21.79569955,needs_id,0,Martina Hajdukova,https://www.inaturalist.org/observations/386802915?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/708248125/small.jpg
386802934,2026-07-31,Circaea lutetiana,čarovník obyčajný,Plantae,"Cesta 3663, Brehov, Košice, SK",48.4805042809,21.7959484644,needs_id,0,Martin Lukáň,https://www.inaturalist.org/observations/386802934?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/708246195/small.jpg
