id,observed_on,taxon_name,common_name,iconic_taxon,place_guess,latitude,longitude,quality_grade,num_identification_agreements,user,url,photo_url
387135373,2026-08-01,Sagittaria,šípovka,Plantae,"Bodrog, Ladmovce, Košický kraj, SK",48.4176288361,21.7834441529,needs_id,0,Jana Bujnova,https://www.inaturalist.org/observations/387135373?locale=sk,https://static.inaturalist.org/photos/708882455/small.jpg
389172640,2026-08-01,Microtus,,Mammalia,"Nižná, Veľká Tŕňa, Košický kraj, SK",48.4668916667,21.6757133333,needs_id,0,Ludka Reiterova,https://www.inaturalist.org/observations/389172640?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/712829451/small.jpg
387443183,2026-08-01,Diachrysia stenochrysis,mora prerušenopásová,Insecta,"Malá Bara, Bara, Košice, SK",48.4216545651,21.737662678,needs_id,0,,https://www.inaturalist.org/observations/387443183?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/709478350/small.jpg
386905309,2026-07-31,Tettigoniinae,,Insecta,"Bara, Košice, SK",48.422188986,21.7374128809,needs_id,3,Martin Lukáň,https://www.inaturalist.org/observations/386905309?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/708439911/small.jpg
386915581,2026-07-31,Meconema thalassinum,Kobylka dubová,Insecta,"Bara 52, 076 32 Bara, Slovensko",48.4216193,21.7370069,research,1,Stanislav Greš,https://www.inaturalist.org/observations/386915581?locale=sk,https://static.inaturalist.org/photos/708459678/small.jpg
386959037,2026-07-31,Gomphocerinae,,Insecta,"Kráľovský Chlmec 2838, 077 01 Kráľovský Chlmec, Slovensko",48.4164898768,21.9630683586,needs_id,2,Vladimir Hemala,https://www.inaturalist.org/observations/386959037?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/708540406/small.jpg
387013750,2026-07-31,Mantis religiosa,modlivka zelená,Insecta,"Kráľovský Chlmec 2838, 077 01 Kráľovský Chlmec, Slovensko",48.416408432,21.9631401077,research,1,Vladimir Hemala,https://www.inaturalist.org/observations/387013750?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/708643250/small.jpg
387135198,2026-07-31,Sympetrum sanguineum,vážka červená,Insecta,"Bodrog, Ladmovce, Košický kraj, SK",48.4184820948,21.783957996,casual,0,Jana Bujnova,https://www.inaturalist.org/observations/387135198?locale=sk,
387131072,2026-07-31,Lecanoraceae,lekanorovité,Fungi,"Kráľovský Chlmec 2696, 077 01 Kráľovský Chlmec, Slovensko",48.4192644833,21.9614529982,needs_id,0,Vladimir Hemala,https://www.inaturalist.org/observations/387131072?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/708873773/small.jpg
387141465,2026-07-31,Sympetrum sanguineum,vážka červená,Insecta,"Cesta 3685, Ladmovce, Košický kraj, SK",48.4190504724,21.7853239531,casual,0,Jana Bujnova,https://www.inaturalist.org/observations/387141465?locale=sk,
