id,observed_on,taxon_name,common_name,iconic_taxon,place_guess,latitude,longitude,quality_grade,num_identification_agreements,user,url,photo_url
278130265,2024-08-02,Lysimachia nummularia,čerkáč peniažtekový,Plantae,"065 45 Hromoš, Slovensko",49.2342722222,20.8007333333,research,1,Lucie Stárková,https://www.inaturalist.org/observations/278130265?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/499383002/small.jpeg
278130266,2024-08-02,Stellaria graminea,hviezdica trávovitá,Plantae,"065 45 Hromoš, Slovensko",49.2337611111,20.8007277778,needs_id,0,Lucie Stárková,https://www.inaturalist.org/observations/278130266?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/499383011/small.jpeg
233329254,2024-08-02,Tritomegas bicolor,hrabavica dvojfarebná,Insecta,"Blažov, Tichý Potok, PV, SK",49.15028005,20.73319425,research,3,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/233329254?locale=sk,https://static.inaturalist.org/photos/414654054/small.jpeg
278130267,2024-08-02,Picris hieracioides,horčík jastrabníkovitý,Plantae,"065 45 Hromoš, Slovensko",49.2422111111,20.7956833333,research,1,Lucie Stárková,https://www.inaturalist.org/observations/278130267?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/499383091/small.jpeg
233257975,2024-08-02,Decticus verrucivorus,kobylka hryzavá,Insecta,"Tichý Potok 108, 082 74 Tichý Potok, Slovensko",49.1430596333,20.7934948057,research,2,Dávid Vincler,https://www.inaturalist.org/observations/233257975?locale=sk,https://static.inaturalist.org/photos/414524354/small.jpeg
233340491,2024-08-02,Agaricales,,Fungi,"Tichý Potok, Slovensko",49.1393508698,20.756027028,needs_id,1,Vladimir Hemala,https://www.inaturalist.org/observations/233340491?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/414675679/small.jpeg
233340690,2024-08-02,Coleoptera,chrobáky,Insecta,"Tichý Potok, Slovensko",49.1396075026,20.7558131218,needs_id,0,Vladimir Hemala,https://www.inaturalist.org/observations/233340690?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/414676138/small.jpeg
233348436,2024-08-02,Cylindroiulus punctatus,,Animalia,"Tichý Potok, Slovensko",49.1398503155,20.756040439,needs_id,0,Vladimir Hemala,https://www.inaturalist.org/observations/233348436?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/414692449/small.jpeg
233348054,2024-08-02,Polydesmus,,Animalia,"Tichý Potok, Slovensko",49.1396901951,20.7561014593,needs_id,0,Vladimir Hemala,https://www.inaturalist.org/observations/233348054?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/414691595/small.jpeg
233347691,2024-08-02,Trogulus,,Arachnida,"Tichý Potok, Slovensko",49.140612964,20.7558674365,needs_id,1,Vladimir Hemala,https://www.inaturalist.org/observations/233347691?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/414690824/small.jpeg
